state,year,month,incidents,victims
FCT,2024,1,9,34
FCT,2024,2,6,15
FCT,2024,3,5,10
FCT,2024,4,4,16
FCT,2024,5,5,57
FCT,2024,6,4,8
FCT,2024,7,9,13
FCT,2024,8,6,24
FCT,2024,9,8,12
FCT,2024,10,5,10
FCT,2024,11,4,5
FCT,2024,12,3,5
FCT,2025,1,2,9
FCT,2025,2,7,18
FCT,2025,3,5,13
FCT,2025,4,3,10
ABIA,2024,1,5,7
ABIA,2024,2,4,4
ABIA,2024,3,3,7
ABIA,2024,4,9,10
ABIA,2024,5,3,3
ABIA,2024,6,4,4
ABIA,2024,7,4,5
ABIA,2024,8,5,5
ABIA,2024,9,2,2
ABIA,2024,10,6,10
ABIA,2024,11,4,4
ABIA,2024,12,2,2
ABIA,2025,1,1,6
ABIA,2025,2,3,3
ABIA,2025,3,3,3
ABIA,2025,4,2,2
ADAMAWA,2024,1,10,21
ADAMAWA,2024,2,5,5
ADAMAWA,2024,3,5,7
ADAMAWA,2024,4,2,3
ADAMAWA,2024,5,10,13
ADAMAWA,2024,6,0,0
ADAMAWA,2024,7,1,1
ADAMAWA,2024,8,3,6
ADAMAWA,2024,9,1,1
ADAMAWA,2024,10,7,7
ADAMAWA,2024,11,7,9
ADAMAWA,2024,12,7,11
ADAMAWA,2025,1,6,9
ADAMAWA,2025,2,10,22
ADAMAWA,2025,3,1,2
ADAMAWA,2025,4,2,4
AKWA-IBOM,2024,1,4,7
AKWA-IBOM,2024,2,2,2
AKWA-IBOM,2024,3,8,12
AKWA-IBOM,2024,4,7,7
AKWA-IBOM,2024,5,9,9
AKWA-IBOM,2024,6,3,4
AKWA-IBOM,2024,7,4,10
AKWA-IBOM,2024,8,3,3
AKWA-IBOM,2024,9,2,2
AKWA-IBOM,2024,10,7,11
AKWA-IBOM,2024,11,6,7
AKWA-IBOM,2024,12,0,0
AKWA-IBOM,2025,1,4,5
AKWA-IBOM,2025,2,3,4
AKWA-IBOM,2025,3,5,6
AKWA-IBOM,2025,4,4,7
ANAMBRA,2024,1,16,19
ANAMBRA,2024,2,13,20
ANAMBRA,2024,3,16,25
ANAMBRA,2024,4,10,16
ANAMBRA,2024,5,17,24
ANAMBRA,2024,6,7,25
ANAMBRA,2024,7,19,22
ANAMBRA,2024,8,15,23
ANAMBRA,2024,9,19,26
ANAMBRA,2024,10,21,38
ANAMBRA,2024,11,12,18
ANAMBRA,2024,12,25,36
ANAMBRA,2025,1,8,10
ANAMBRA,2025,2,12,16
ANAMBRA,2025,3,7,9
ANAMBRA,2025,4,7,8
BAUCHI,2024,1,11,12
BAUCHI,2024,2,4,5
BAUCHI,2024,3,8,18
BAUCHI,2024,4,6,8
BAUCHI,2024,5,2,5
BAUCHI,2024,6,2,2
